# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
36,Universidad Nacional de Tucumán,ESPECIALISTA EN ADMINISTRACIÓN Y POLÍTICAS PÚBLICAS,ESPECIALIZACIÓN EN ADMINISTRACIÓN Y POLÍTICAS PÚBLICAS,D./560/2026,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,"ESPECIALISTA EN ADMINISTRACIÓN Y POLÍTICAS PÚBLICAS, CON ORIENTACIÓN EN: GESTIÓN DE LA ADMINISTRACIÓN PÚBLICA, GESTIÓN DE POLÍTICAS PÚBLICAS O POLÍTICA ELECTORAL Y MODELOS DE DECISIÓN POLÍTICA",ESPECIALIZACIÓN EN ADMINISTRACIÓN Y POLÍTICAS PÚBLICAS,R.M./1821/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN ANATOMÍA PATOLÓGICA,ESPECIALIZACIÓN EN ANATOMÍA PATOLÓGICA,R.M./1917/2016,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN ANESTESIOLOGÍA,ESPECIALIZACIÓN EN ANESTESIOLOGÍA,R.M./4029/2019,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN ARQUITECTURA SUSTENTABLE,ESPECIALIZACIÓN EN ARQUITECTURA SUSTENTABLE,R.M./1374/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN AUDITORIA,ESPECIALIZACIÓN EN AUDITORÍA,R.M./2353/2012,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN AUDITORÍA DE SERVICIOS DE SALUD,ESPECIALIZACIÓN EN AUDITORÍA DE SERVICIOS DE SALUD,D./660/2026,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN AUDITORÍA Y CONTABILIDAD,ESPECIALIZACIÓN EN AUDITORÍA Y CONTABILIDAD,R.M./4243/2019,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN BIOQUÍMICA CLÍNICA,ESPECIALIZACIÓN EN BIOQUÍMICA CLÍNICA,R.M./1114/2024,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN BIOQUÍMICA CLÍNICA,ESPECIALIZACIÓN EN BIOQUÍMICA CLÍNICA,R.M./405/2016,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN BIOQUÍMICA CLÍNICA ÁREA ENDOCRINOLOGÍA,ESPECIALIZACIÓN EN BIOQUÍMICA CLÍNICA ÁREA ENDOCRINOLOGÍA,R.M./982/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN BIOQUÍMICA CLÍNICA - ÁREA HEMATOLOGÍA,ESPECIALIZACIÓN EN BIOQUÍMICA CLÍNICA - ÁREA HEMATOLOGÍA,R.M./895/2015 - R.M./1937/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./2218/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./821/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./3040/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./1549/2012,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./3272/2021,PRESENCIAL,Posgrado
